"","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)"
"character(0)",0.213166421705643,0.253175310660782,0.106494876664026,0.117042949602283,0.167639722484037,0.110670866955026,0.14950038282194,0.122779375265492,0.178044390349144,0.145850514598798,0,0.127362517143268,0.157536560974026,0.127791709655867,0.15113954062573,0.157112387752411,0.129929575815652,0.106478808029205,0.113464984587699,0.0986198867932343,0.133476418439556,0.12086917011736,0.0981154339362935,0.119488088265708,0.112389175570992,0.120145013505398,0.169487215721625,0.137455251389766,0.164278545584414,0.135044009243,0.153007337527488,0.146342423295812,0.134307099749854,0.151523976376639,0.102915974229533,0.217253152508129,0.121785873764673,0.113162974510986,0.143556492412578,0.10547777199321,0.102882716521691,0.105380392893829,0.114455963967012,0.137168639339371,0.105493993103954,0.214941040604063,0.101795926220634,0.241653385622983,0.147437414907002,0.126621443574775
"character(0)",0.221140647699156,0.261552490618754,0.12765774200225,0.134179637350683,0.182421044453079,0.130113817178477,0.164330616505747,0.144802614383144,0.180734236684435,0.158208546602869,0.127362517143268,0,0.168352696147458,0.141031220930052,0.161155354297459,0.163788269757471,0.135953236705672,0.125617464716908,0.127174289948679,0.115290115292219,0.138928713742456,0.131968016218601,0.112966234988252,0.134396251501954,0.13074353080097,0.131409295184744,0.179851605630591,0.146960815401483,0.174579726292229,0.142131014019788,0.161833460032651,0.157580001361169,0.145486372287578,0.163621032169755,0.117974881305313,0.22538651878797,0.134498066858604,0.133399479389005,0.160847146459415,0.124302922696143,0.121293125014685,0.124110055360896,0.128379506529886,0.141346320725116,0.117466147234877,0.221542637602371,0.11635380880065,0.251479996891954,0.162224196874782,0.13930999816764
"character(0)",0.10487582714393,0.145545166540245,0.156380993822033,0.171942881221198,0.202867773421567,0.165347896161366,0.187919249404897,0.177080731019034,0.202318784914448,0.183132532290523,0.157536560974026,0.168352696147458,0,0.173142831682077,0.184778930454355,0.189911894038624,0.17396115216115,0.162529793411148,0.164382670932755,0.133219782135157,0.178034779575319,0.168301869622088,0.14654105975564,0.129176737374787,0.161282716293863,0.170232660861907,0.20027017103189,0.173448921156121,0.193473470654823,0.173862763401421,0.18937052493828,0.182533569010578,0.182524194613683,0.19710960235097,0.156763490971474,0.249649835190792,0.165171878438111,0.169285180585177,0.191464272042047,0.155668148524356,0.154210384036673,0.158608213796512,0.163652402235325,0.16871819513402,0.158769954428426,0.230164288585128,0.157188605693361,0.259199843846363,0.190298927850525,0.167179776642007
"character(0)",0.225249824232513,0.266439564270316,0.126066172790203,0.131578461055389,0.184268913112728,0.126486236442166,0.165285793662966,0.136179595040263,0.188192216066098,0.155327023977371,0.127791709655867,0.141031220930052,0.173142831682077,0,0.163913585973017,0.169759581747072,0.14116461821945,0.12402730612043,0.127872022878201,0.116029825917194,0.142887450524277,0.132071703538639,0.112693259393984,0.133450777018045,0.131161660289904,0.131096415466542,0.179241678971442,0.146587758628641,0.174834372872659,0.144708049400399,0.159103697369166,0.155106545478759,0.14721674355695,0.167138831312801,0.118784323946714,0.227186191451811,0.134396251501955,0.129388502660185,0.155349054617008,0.123612729006854,0.119959725397565,0.123668086255042,0.126418578648375,0.151512683365528,0.118712276676213,0.227487259953176,0.118423649269633,0.25176560742908,0.1553049902126,0.139014901635374
"character(0)",0.236188956041719,0.272176936434218,0.151365797549741,0.161272106635839,0.197248448614451,0.153799288942473,0.17929894773449,0.167415017947856,0.199842516964887,0.174039823121492,0.15113954062573,0.161155354297459,0.184778930454355,0.163913585973017,0,0.186575940118636,0.164195197762923,0.152682682851224,0.153788163012777,0.14225135187389,0.167261637230408,0.15716683291042,0.140861259854874,0.158888459584787,0.154043856090576,0.156457568060245,0.193853393808168,0.15939380734022,0.188228581712053,0.167762161737718,0.179661225979868,0.176189509428337,0.166718561898843,0.187764392147936,0.146669445878574,0.242973886464003,0.154210384036673,0.156304382069753,0.18282393689852,0.146739427327906,0.146365806282826,0.147460624260142,0.156085284145864,0.167466113635891,0.145744889589459,0.232979519604624,0.145909162120006,0.259021543019314,0.185019540171739,0.156315328904664
"character(0)",0.240325629225595,0.275575687515458,0.156129128327668,0.161441777494586,0.198062204721589,0.156074321175936,0.182908150912869,0.16641037524941,0.198812394037661,0.177486105218386,0.157112387752411,0.163788269757471,0.189911894038624,0.169759581747072,0.186575940118636,0,0.163652402235326,0.158230176044026,0.151997525191512,0.152334873076762,0.167302552504315,0.163191703579886,0.153643452610554,0.162087018292381,0.15550318170223,0.162065903589198,0.198752138726673,0.168413667730124,0.186254676608014,0.173517963406622,0.186960727636873,0.163641946214983,0.171374704112966,0.1657509952406,0.149671966010309,0.230483739521078,0.165451348524713,0.164621909293375,0.181772676467405,0.159307903907766,0.157992089330066,0.159844042947391,0.164954185467045,0.172677725644345,0.153163821075245,0.227479738096909,0.150048758373592,0.260720322204538,0.182092450657778,0.161780585375104
"character(0)",0.228724978612595,0.271446698171673,0.13074353080097,0.127872022878201,0.188155843391605,0.120826692811491,0.166800648837298,0.137442802424347,0.194073937457056,0.158046231441018,0.129929575815652,0.135953236705672,0.17396115216115,0.14116461821945,0.164195197762923,0.163652402235326,0,0.117553515151184,0.112084266773775,0.105607471116283,0.13458709211236,0.124893438716873,0.104549008564457,0.125126129856002,0.12524914426866,0.126459177668417,0.183850573845427,0.1494889369403,0.173724925524405,0.147088835142204,0.167558046609525,0.159383071943182,0.140958405562873,0.159522575752771,0.109505141729304,0.227314194287542,0.132511469511244,0.126134019613256,0.15440998050424,0.122625979427536,0.12150454773922,0.120429515474924,0.130691170554256,0.15505137686756,0.111809137925455,0.230156854218014,0.107151615977906,0.261100696666333,0.159833337790968,0.142022622771876
"character(0)",0.21847053053305,0.261833649083908,0.110485177450143,0.108311075801912,0.173744623344699,0.0996211295876366,0.15230117191347,0.113946535757726,0.185250600955848,0.145791843485519,0.106478808029205,0.125617464716908,0.162529793411148,0.12402730612043,0.152682682851224,0.158230176044026,0.117553515151184,0,0.101070550366538,0.0825030215884909,0.122472391462487,0.107899546041034,0.0813122584755232,0.106478808029206,0.106527006662242,0.109019667848607,0.171604194955181,0.137068807710906,0.165699370672979,0.132782362065553,0.15497410781794,0.147819903242172,0.12448174622633,0.146225452272968,0.0913417469692652,0.21903372080508,0.117451579597041,0.103413556377211,0.135827319074965,0.101526624356702,0.100782333834751,0.0994836262376461,0.109645683145511,0.143377590886157,0.0923292540139661,0.22324301931442,0.0884678647204039,0.250641693825678,0.143782781461306,0.12760411555922
"character(0)",0.221511741202024,0.265126221543565,0.115349466706854,0.113329179650238,0.177186990093115,0.101476050692614,0.154985148612157,0.122974329596478,0.183589792758354,0.146202046838281,0.113464984587699,0.127174289948679,0.164382670932755,0.127872022878201,0.153788163012777,0.151997525191512,0.112084266773775,0.101070550366538,0,0.0870051628397171,0.122206648508147,0.108988272695228,0.0845920362712997,0.111056722901937,0.110485177450143,0.109598856031205,0.174481686341614,0.135499385613315,0.162981864604602,0.134332577716458,0.157243024461027,0.143365656180107,0.127617524282585,0.146937527101614,0.0910227301347395,0.221171595939137,0.118250134672015,0.10941134715815,0.142863498223291,0.106639385421038,0.105704641022853,0.104204745900236,0.11540878759877,0.145474610585608,0.0917902361483632,0.222082628815063,0.0907025912693015,0.253269912696519,0.140252574698723,0.127590705426708
"character(0)",0.188310378738458,0.233632258114632,0.100066710577609,0.0996726444387503,0.170333146474142,0.0882742381702126,0.145415787805885,0.10873678514302,0.178370848546587,0.137218527916884,0.0986198867932343,0.115290115292219,0.133219782135157,0.116029825917194,0.14225135187389,0.152334873076762,0.105607471116283,0.0825030215884909,0.0870051628397171,0,0.107581913482465,0.094490794884578,0.0545333718169836,0.0732530129162088,0.0974504741631018,0.0957678769728079,0.164860800482727,0.126540336631313,0.15740616788149,0.123640410729071,0.147611396104582,0.139518647240014,0.115897026428998,0.140240374048472,0.0726666979582917,0.213567397233449,0.104023963143647,0.0924588909804507,0.132705020619092,0.0890077782355296,0.0879246358533837,0.0858768488472009,0.100066710577609,0.134548945644936,0.0767660220514827,0.218258959517177,0.0726431469293282,0.248509467856046,0.141612396006039,0.11724744261911
